step,train_generator,generator_loss,critic_loss,learning_rate,critic_learning_rate,step_time,sigma_mean,video_dmd_loss,audio_dmd_loss,dmd_gradient_norm,audio_dmd_gradient_norm,video_distill_loss,audio_distill_loss,video_transition_loss,audio_transition_loss,video_quality_loss,audio_quality_loss,clean_video_loss,clean_audio_loss,dmd_weight_scale,video_critic_loss,audio_critic_loss,train_critic
1,1,0.02587923,0.00216783,2.00000000e-07,1.00000000e-07,52.897336,0.99374998,0.0,0.0,9.999999974752427e-07,9.999999974752427e-07,0.0013196818763390183,0.0003173165605403483,5.2199951028342184e-08,1.2551345740519082e-08,0.011880380101501942,0.011473064310848713,1.4248595237731934,1.2711461782455444,0.002,0.002111883834004402,0.0011188380885869265,1
2,0,,0.00719894,2.00000000e-07,1.00000000e-07,13.882160,0.98750001,,,,,,,,,,,,,,0.007177703082561493,0.00042464371654205024,1
3,0,,0.02016038,2.00000000e-07,1.00000000e-07,18.394807,0.98124999,,,,,,,,,,,,,,0.020123030990362167,0.0007470109267160296,1
4,1,0.03073603,0.01307405,2.00000000e-07,1.00000000e-07,73.357808,0.97500002,0.7258017063140869,0.7621089220046997,0.8575615882873535,0.9094732403755188,0.0013232927303761244,7.277182157849893e-05,5.994948423904134e-06,3.296800628049823e-07,0.015175126492977142,0.015964500606060028,1.5612562894821167,1.412378191947937,0.005,0.013011135160923004,0.0012583411298692226,1
5,0,,0.00686540,2.00000000e-07,1.00000000e-07,19.106910,0.90937501,,,,,,,,,,,,,,0.006843195762485266,0.00044398955651558936,1
6,0,,0.00165902,2.00000000e-07,1.00000000e-07,21.853913,0.72500002,,,,,,,,,,,,,,0.001635970314964652,0.0004609792958945036,1
7,1,0.02984367,0.00031233,2.00000000e-07,1.00000000e-07,96.487916,0.42187500,0.5936177372932434,0.7445262670516968,0.8218236565589905,0.9423516392707825,6.449164357036352e-05,2.231859070889186e-05,6.449164357036352e-05,2.231859070889186e-05,0.015614310279488564,0.016443343833088875,1.4695417881011963,1.627954363822937,0.008,0.0003059314040001482,0.00012789930042345077,1
8,0,,0.00048047,2.00000000e-07,1.00000000e-07,10.598481,1.00000000,,,,,,,,,,,,,,0.00045935253729112446,0.000422384386183694,1
9,0,,0.00296877,2.00000000e-07,1.00000000e-07,14.118979,0.99374998,,,,,,,,,,,,,,0.0029378337785601616,0.000618676480371505,1
10,1,0.02138354,0.00227798,2.00000000e-07,1.00000000e-07,65.004430,0.98750001,0.609545111656189,0.5813345313072205,0.7353391051292419,0.7690043449401855,0.001556810108013451,0.0008065966540016234,6.236268035308967e-08,3.2310627062770436e-08,0.0076236058957874775,0.01119593158364296,1.1752805709838867,1.4440019130706787,0.011,0.0022495014127343893,0.0005696331500075758,1
11,0,,0.00339306,2.00000000e-07,1.00000000e-07,14.142080,0.98124999,,,,,,,,,,,,,,0.0029345517978072166,0.009170128963887691,1
12,0,,0.00365592,2.00000000e-07,1.00000000e-07,17.455406,0.97500002,,,,,,,,,,,,,,0.00359559734351933,0.0012064820621162653,1
13,1,0.02595641,0.00501496,2.00000000e-07,1.00000000e-07,75.142183,0.90937501,0.6122364401817322,0.8350706100463867,0.8055589199066162,0.9173206686973572,0.00030881291604600847,8.612738020019606e-05,1.2694436009041965e-05,3.5404571008257335e-06,0.012256532907485962,0.018365247175097466,1.1718555688858032,1.9078506231307983,0.014,0.0049795485101640224,0.0007082532974891365,1
14,0,,0.00294386,2.00000000e-07,1.00000000e-07,21.305074,0.72500002,,,,,,,,,,,,,,0.002926594577729702,0.00034538868931122124,1
15,0,,0.00047094,2.00000000e-07,1.00000000e-07,24.583394,0.42187500,,,,,,,,,,,,,,0.0004670323396567255,7.814066339051351e-05,1
16,1,0.01913688,0.00043936,2.00000000e-07,1.00000000e-07,54.270972,1.00000000,0.6735666394233704,0.7816993594169617,0.8293928503990173,0.9298833012580872,5.978157787467353e-05,8.210659871110693e-05,2.335238447059851e-09,3.2072740019373214e-09,0.008768321946263313,0.014040788635611534,0.9203692078590393,1.0979783535003662,0.017,0.0003981555928476155,0.0008241260657086968,1
17,0,,0.00339313,2.00000000e-07,1.00000000e-07,13.926671,0.99374998,,,,,,,,,,,,,,0.0033736000768840313,0.0003905723860953003,1
18,0,,0.01334951,2.00000000e-07,1.00000000e-07,17.073607,0.98750001,,,,,,,,,,,,,,0.013323865830898285,0.0005129796918481588,1
19,1,0.03490096,0.00723994,2.00000000e-07,1.00000000e-07,65.811603,0.98124999,0.6541531682014465,0.5961546301841736,0.8140924572944641,0.8185974955558777,0.0020055409986525774,9.279033838538453e-05,8.1363054960093e-08,3.7644354300425675e-09,0.014381135813891888,0.017525626346468925,2.0400502681732178,1.1625674962997437,0.02,0.007217986509203911,0.00043908183579333127,1
20,0,,0.00275971,2.00000000e-07,1.00000000e-07,19.078242,0.97500002,,,,,,,,,,,,,,0.002737387316301465,0.00044640450505539775,1
21,0,,0.00649303,2.00000000e-07,1.00000000e-07,19.218690,0.90937501,,,,,,,,,,,,,,0.006475098431110382,0.0003586813691072166,1
22,1,0.02844238,0.00151488,2.00000000e-07,1.00000000e-07,76.281305,0.72500002,0.6064736247062683,0.8257712125778198,0.8114703893661499,0.9353010058403015,0.00016284474986605346,2.9811712010996416e-05,2.846697134373244e-05,5.211400548432721e-06,0.015781236812472343,0.016148313879966736,1.272499442100525,1.2895044088363647,0.023,0.0014994352823123336,0.00030886646709404886,1
23,0,,0.00041721,2.00000000e-07,1.00000000e-07,21.548307,0.42187500,,,,,,,,,,,,,,0.00040999657358042896,0.0001442994544049725,1
24,0,,0.00102340,2.00000000e-07,1.00000000e-07,11.849995,1.00000000,,,,,,,,,,,,,,0.0010058392072096467,0.0003512503462843597,1
25,1,0.02312991,0.02700287,2.00000000e-07,1.00000000e-07,57.934197,0.99374998,0.7494339942932129,1.284253716468811,0.8642570972442627,1.2696473598480225,0.0016001473413780332,0.00010743785969680175,6.329374002689292e-08,4.2496961505378295e-09,0.00950685515999794,0.010249745100736618,1.1321231126785278,1.4631297588348389,0.026,0.026967348530888557,0.00071053666761145,1
26,0,,0.00918670,2.00000000e-07,1.00000000e-07,14.485954,0.98750001,,,,,,,,,,,,,,0.009156484156847,0.0006043026805855334,1
27,0,,0.00684944,2.00000000e-07,1.00000000e-07,15.972543,0.98124999,,,,,,,,,,,,,,0.006794329732656479,0.0011022500693798065,1
28,1,0.05553256,0.01229930,2.00000000e-07,1.00000000e-07,69.762144,0.97500002,0.6454731822013855,0.2673441171646118,0.7916764616966248,0.495084673166275,0.008726239204406738,0.002538658445701003,3.95327115256805e-05,1.1500956134113949e-05,0.027008056640625,0.01809247024357319,2.407750368118286,2.027703285217285,0.029,0.012112620286643505,0.003733540652319789,1
29,0,,0.00590634,2.00000000e-07,1.00000000e-07,18.483349,0.90937501,,,,,,,,,,,,,,0.0058813756331801414,0.0004991955356672406,1
30,0,,0.00174207,2.00000000e-07,1.00000000e-07,21.583220,0.72500002,,,,,,,,,,,,,,0.0017237248830497265,0.00036693227593787014,1
