step,loss,learning_rate,step_time,sigma_mean,video_distill_loss,audio_distill_loss,video_transition_loss,audio_transition_loss,video_quality_loss,audio_quality_loss,clean_video_loss,clean_audio_loss
1,0.02893347,5.00000000e-07,16.672978,0.99374998,0.0,0.0,0.0,0.0,0.01011935155838728,0.007936174981296062,1.5458093881607056,0.8843970894813538
2,0.03513066,5.00000000e-07,14.689193,0.98750001,0.002768013160675764,0.00014296047447714955,1.1088102525036447e-07,5.7266960062918315e-09,0.011612268164753914,0.009749041870236397,1.7471998929977417,0.6499752998352051
3,0.04522712,5.00000000e-07,14.733529,0.98124999,0.001539528602734208,0.0005055880756117404,6.245733885634763e-08,2.0511111031851215e-08,0.017870577052235603,0.014940524473786354,1.957009196281433,1.5788401365280151
4,0.05003070,5.00000000e-07,16.255278,0.97500002,0.0034816237166523933,0.00024615158326923847,1.5772893675602973e-05,1.1151482794957701e-06,0.020886573940515518,0.014030752703547478,2.013216018676758,1.3350799083709717
5,0.04650712,5.00000000e-07,18.585990,0.90937501,0.0022122822701931,5.549754496314563e-05,9.094074630411342e-05,2.2813494524598354e-06,0.018245164304971695,0.012053954415023327,2.173452854156494,0.9329160451889038
6,0.05017842,5.00000000e-07,19.203191,0.72500002,0.00035268859937787056,5.41377485205885e-05,6.16536708548665e-05,9.4638471637154e-06,0.017135467380285263,0.02993241883814335,2.104719400405884,2.813347339630127
7,0.04927695,5.00000000e-07,20.225080,0.42187500,7.487012044293806e-05,1.9786451957770623e-05,7.487012044293806e-05,1.9786451957770623e-05,0.0192880816757679,0.014586825855076313,2.3853533267974854,1.557747721672058
8,0.02164000,5.00000000e-07,9.100623,1.00000000,9.385294833919033e-05,7.584725972265005e-05,3.6661653712855014e-09,2.9628191011710214e-09,0.00787636823952198,0.016824018210172653,0.794041097164154,1.1746972799301147
9,0.02767829,5.00000000e-07,10.735317,0.99374998,0.00047356580034829676,5.059064278611913e-05,1.87318658362301e-08,2.001081300662122e-09,0.010551141574978828,0.012559843249619007,1.1934722661972046,1.0983843803405762
10,0.02816801,5.00000000e-07,12.048553,0.98750001,0.0006827760953456163,6.609155389014632e-05,2.7350635534162393e-08,2.64750732448249e-09,0.008115255273878574,0.014038052409887314,1.4822818040847778,0.8631630539894104
11,0.01980962,5.00000000e-07,14.527699,0.98124999,0.00039357278728857636,7.721628935541958e-05,1.596690424321423e-08,3.1326332639025622e-09,0.00633013853803277,0.013289621099829674,0.8668692708015442,0.8719196915626526
12,0.03393818,5.00000000e-07,15.535167,0.97500002,0.0010561898816376925,4.963647370459512e-05,4.784885732078692e-06,2.2486942441446445e-07,0.011694418266415596,0.014503967948257923,1.5540200471878052,1.367601752281189
13,0.03337442,5.00000000e-07,17.837481,0.90937501,0.0005770717398263514,0.003665987169370055,2.3721806428511627e-05,0.0001506984990555793,0.014720253646373749,0.012377172708511353,1.2686463594436646,1.0829222202301025
14,0.03552166,5.00000000e-07,18.856848,0.72500002,0.00033404340501874685,4.321517189964652e-05,5.839430377818644e-05,7.554465810244437e-06,0.014224101789295673,0.01822362095117569,1.4062708616256714,1.614733099937439
15,0.04582110,5.00000000e-07,20.350630,0.42187500,4.823537165066227e-05,1.6371168385376222e-05,4.823537165066227e-05,1.6371168385376222e-05,0.024200264364480972,0.011328540742397308,1.7423920631408691,0.9321243166923523
16,0.01901145,5.00000000e-07,10.808781,1.00000000,3.4840511943912134e-05,7.887756510172039e-05,1.360967338825958e-09,3.081145116823336e-09,0.0072215888649225235,0.017609626054763794,0.5812602043151855,1.202359914779663
17,0.02550427,5.00000000e-07,11.875441,0.99374998,0.00023889423755463213,0.0002817708591464907,9.449451887633131e-09,1.114554670778034e-08,0.00893349852412939,0.014445069245994091,1.1070500612258911,1.1580044031143188
18,0.03129471,5.00000000e-07,13.516935,0.98750001,0.001234891708008945,6.082003528717905e-05,4.9467274720882415e-08,2.436325585719601e-09,0.008033190853893757,0.011708112433552742,1.8254708051681519,0.7090594172477722
19,0.03912691,5.00000000e-07,13.598652,0.98124999,0.003355879569426179,6.96091228746809e-05,1.3614508986847795e-07,2.823960620901289e-09,0.009191099554300308,0.03508647158741951,1.3158435821533203,3.195117473602295
20,0.04864228,5.00000000e-07,17.254436,0.97500002,0.0066153970547020435,0.0012501738965511322,2.9969911338412203e-05,5.6636986300873104e-06,0.018293721601366997,0.010524969547986984,1.9757285118103027,0.8057581186294556
